date,country_region,total_cases,total_deaths,total_gueris
2022-07-25,Andorra,2.0,0.0,2.0
2022-07-26,Andorra,3.0,0.0,3.0
2022-07-27,Andorra,3.0,0.0,3.0
2022-07-28,Andorra,3.0,0.0,3.0
2022-07-29,Andorra,3.0,0.0,3.0
2022-07-30,Andorra,3.0,0.0,3.0
2022-07-31,Andorra,3.0,0.0,3.0
2022-08-01,Andorra,3.0,0.0,3.0
2022-08-02,Andorra,3.0,0.0,3.0
2022-08-03,Andorra,3.0,0.0,3.0
2022-08-04,Andorra,3.0,0.0,3.0
2022-08-05,Andorra,4.0,0.0,4.0
2022-08-06,Andorra,4.0,0.0,4.0
2022-08-07,Andorra,4.0,0.0,4.0
2022-08-08,Andorra,4.0,0.0,4.0
2022-08-09,Andorra,4.0,0.0,4.0
2022-08-10,Andorra,4.0,0.0,4.0
2022-08-11,Andorra,4.0,0.0,4.0
2022-08-12,Andorra,4.0,0.0,4.0
2022-08-13,Andorra,4.0,0.0,4.0
2022-08-14,Andorra,4.0,0.0,4.0
2022-08-15,Andorra,4.0,0.0,4.0
2022-08-16,Andorra,4.0,0.0,4.0
2022-08-17,Andorra,4.0,0.0,4.0
2022-08-18,Andorra,4.0,0.0,4.0
2022-08-19,Andorra,4.0,0.0,4.0
2022-08-20,Andorra,4.0,0.0,4.0
2022-08-21,Andorra,4.0,0.0,4.0
2022-08-22,Andorra,4.0,0.0,4.0
2022-08-23,Andorra,4.0,0.0,4.0
2022-08-24,Andorra,4.0,0.0,4.0
2022-08-25,Andorra,4.0,0.0,4.0
2022-08-26,Andorra,4.0,0.0,4.0
2022-08-27,Andorra,4.0,0.0,4.0
2022-08-28,Andorra,4.0,0.0,4.0
2022-08-29,Andorra,4.0,0.0,4.0
2022-08-30,Andorra,4.0,0.0,4.0
2022-08-31,Andorra,4.0,0.0,4.0
2022-09-01,Andorra,4.0,0.0,4.0
2022-09-02,Andorra,4.0,0.0,4.0
2022-09-03,Andorra,4.0,0.0,4.0
2022-09-04,Andorra,4.0,0.0,4.0
2022-09-05,Andorra,4.0,0.0,4.0
2022-09-06,Andorra,4.0,0.0,4.0
2022-09-07,Andorra,4.0,0.0,4.0
2022-09-08,Andorra,4.0,0.0,4.0
2022-09-09,Andorra,4.0,0.0,4.0
2022-09-10,Andorra,4.0,0.0,4.0
2022-09-11,Andorra,4.0,0.0,4.0
2022-09-12,Andorra,4.0,0.0,4.0
2022-09-13,Andorra,4.0,0.0,4.0
2022-09-14,Andorra,4.0,0.0,4.0
2022-09-15,Andorra,4.0,0.0,4.0
2022-09-16,Andorra,4.0,0.0,4.0
2022-09-17,Andorra,4.0,0.0,4.0
2022-09-18,Andorra,4.0,0.0,4.0
2022-09-19,Andorra,4.0,0.0,4.0
2022-09-20,Andorra,4.0,0.0,4.0
2022-09-21,Andorra,4.0,0.0,4.0
2022-09-22,Andorra,4.0,0.0,4.0
2022-09-23,Andorra,4.0,0.0,4.0
2022-09-24,Andorra,4.0,0.0,4.0
2022-09-25,Andorra,4.0,0.0,4.0
2022-09-26,Andorra,4.0,0.0,4.0
2022-09-27,Andorra,4.0,0.0,4.0
2022-09-28,Andorra,4.0,0.0,4.0
2022-09-29,Andorra,4.0,0.0,4.0
2022-09-30,Andorra,4.0,0.0,4.0
2022-10-01,Andorra,4.0,0.0,4.0
2022-10-02,Andorra,4.0,0.0,4.0
2022-10-03,Andorra,4.0,0.0,4.0
2022-10-04,Andorra,4.0,0.0,4.0
2022-10-05,Andorra,4.0,0.0,4.0
2022-10-06,Andorra,4.0,0.0,4.0
2022-10-07,Andorra,4.0,0.0,4.0
2022-10-08,Andorra,4.0,0.0,4.0
2022-10-09,Andorra,4.0,0.0,4.0
2022-10-10,Andorra,4.0,0.0,4.0
2022-10-11,Andorra,4.0,0.0,4.0
2022-10-12,Andorra,4.0,0.0,4.0
2022-10-13,Andorra,4.0,0.0,4.0
2022-10-14,Andorra,4.0,0.0,4.0
2022-10-15,Andorra,4.0,0.0,4.0
2022-10-16,Andorra,4.0,0.0,4.0
